"video_id","view_count","like_count","dislike_count","favorite_count","comment_count","published_date","category_id"
"zSxaKz2dluw",159115,1198,12,0,74,"2011-10-25T12:51:43.000Z",23
"7YkDhOxvTPM",30309,55,1,0,31,"2009-12-16T15:55:56.000Z",24
"oVKPosgu5ko",3989,25,2,0,3,"2012-10-18T21:49:45.000Z",29
"z8FxyXumQF4",614476,2904,101,0,159,"2015-06-14T08:50:43.000Z",2
"fNppp2dzQTI",20590,29,3,0,2,"2015-04-03T20:01:41.000Z",1
"UZrBB3kjJv4",2922,3,0,0,5,"2012-09-10T18:44:31.000Z",26
"aC2zDp5stdQ",5176,7,3,0,0,"2014-06-16T14:14:23.000Z",2
"bvoR-_a33mI",6230,NULL,NULL,0,1,"2008-03-08T06:20:26.000Z",25
"JMKjykgyY3g",2277,2,0,0,1,"2007-06-10T16:38:32.000Z",1
"j_YCQ8xF5aM",4231,12,1,0,1,"2008-12-17T06:07:42.000Z",2
"w0Nkr-uMZuw",85796,128,7,0,37,"2007-06-26T23:36:29.000Z",22
"9YJ7aETRt_I",7998,87,2,0,16,"2012-07-24T13:54:26.000Z",2
"UjROfjZJYb8",2626,11,4,0,4,"2011-08-06T06:35:01.000Z",23
"5evufRFJ694",2761,5,1,0,0,"2013-04-16T12:13:37.000Z",1
"5q9MkuQO49g",4788,7,2,0,1,"2008-03-14T22:08:08.000Z",24
"te7-uMkdXjg",21200,123,4,0,6,"2012-11-25T14:18:41.000Z",24
"Hzc6PJKSyL8",3704,2,0,0,0,"2012-03-07T13:49:42.000Z",24
"2kkiSA0iBjA",5768,27,9,0,4,"2010-02-05T11:41:52.000Z",24
"_Cc_PlbMGSc",5673,12,0,0,2,"2014-03-11T21:46:47.000Z",10
"SKmymVOEtww",27715,25,4,0,2,"2012-08-10T15:34:53.000Z",1
"tF3YmIw5ofI",13936,29,3,0,1,"2013-03-18T01:07:04.000Z",22
"GmpfTFs7bDA",3245609,9682,1484,0,404,"2012-06-12T03:29:11.000Z",27
"BZllMaFzeZs",3529,10,6,0,1,"2011-08-14T11:22:14.000Z",23
"-8H7kwmzSDM",3379,15,0,0,2,"2009-09-09T06:59:36.000Z",2
"3lNEkH61Bq4",44679,196,5,0,26,"2014-02-09T08:14:22.000Z",29
"bNxrtIS4_IE",25706,30,3,0,5,"2012-12-17T11:54:01.000Z",25
"NY0UMG_oJ-A",5629,6,0,0,0,"2009-12-06T11:39:15.000Z",24
"rjA5Ia6WJ6k",60354,57,4,0,6,"2007-12-15T13:34:44.000Z",17
"2A3ibcmq-Ks",2505,15,0,0,3,"2009-03-15T17:05:59.000Z",24
"9CbW7NSiZGc",7140,23,5,0,0,"2012-12-14T01:38:11.000Z",19
"IV_LZptUF6s",283616,982,39,0,98,"2006-10-07T16:56:41.000Z",15
"9gW0-d7TQ-c",4086,21,1,0,6,"2014-07-17T17:14:22.000Z",10
"QIy6E7MITcU",4433,3,1,0,1,"2012-05-04T14:17:41.000Z",24
"QCfhHaw9Z9I",29279,397,4,0,34,"2011-09-02T14:04:46.000Z",24
"aznmV2U4-Zc",6208,12,0,0,5,"2012-05-27T17:18:26.000Z",1
"xCrvYn1QIn4",3685,4,0,0,7,"2011-12-05T14:21:18.000Z",24
"SYavSusOK6g",5451,3,8,0,0,"2009-09-28T13:42:57.000Z",24
"jFOJxkxQKEA",3792,3,3,0,1,"2008-07-15T19:37:55.000Z",10
"n4w-gT1l88s",2809,1,0,0,5,"2011-02-16T14:30:48.000Z",24
"YIMSrO3sn3s",9953,26,1,0,19,"2010-07-01T02:24:33.000Z",24
"CnlZuvWnuMk",30372,80,5,0,16,"2012-09-01T18:17:09.000Z",24
