video_id,view_count,like_count,dislike_count,favorite_count,comment_count,published_date,title,category_id
6ThU8dS1ItQ,383317,230,168,0,14,2015-11-13T18:37:41.000Z,We are CruisesOnly!,19
Pzl86IjTpHI,1616436,6772,133,0,324,2010-03-19T15:32:30.000Z,YDA: For those who are born to create drama,1
XutXCTwwmYc,2618479,45,125,0,0,2015-11-13T00:23:46.000Z,Mobile Strike - Mobile MMO Strategy Game,20
w22oOw3RIAk,2233030,17,1,0,1,2015-09-30T20:24:00.000Z,Big Sean x Finish Line | #EpicFinish,26
XkgGZobFUq0,17387,0,0,0,0,2015-07-09T12:57:27.000Z,Retail Across America: Kentucky,29
1KkVdbUr250,100560,138,7,0,12,2016-02-23T03:59:46.000Z,Malala Yousafzai's #SuperpowerForGood,29
D-Q5mUes_8k,193081,85,40,0,2,2016-01-28T15:20:27.000Z,Driving - DISCOUNT TIRE DIRECT,2
bqmzpwxDJ9s,255036,NULL,NULL,0,NULL,2016-02-04T18:12:57.000Z,Heart of Connecticut,2
mcP_f1UEQVo,214186,1,1,0,0,2016-04-26T21:59:41.000Z,Youth Alcohol 2016,22
#NAME?,276430,825,20,0,165,2010-10-18T10:56:43.000Z,Berocca Log Rolling Lumberjacks advert - LogJam remix NOW available on iTUNES!!!,24
xtJqw--DGl8,373595,703,41,0,366,2009-05-13T11:54:07.000Z,DOE Drink Driving Road Safety Ad,27
qhbliUq0_r4,8699314,74567,16333,0,14310,2014-07-08T07:32:02.000Z,LEGO: Everything is NOT awesome.,29
EIUSkKTUftU,4554143,7658,780,0,288,2015-01-24T04:52:50.000Z,Budweiser | Clydesdale Beer Run,24
QEDRDrV55q8,5550844,5701,2826,0,163,2016-02-12T06:09:15.000Z,Cadbury Bournvita - Monkey Bars,24
5AP5zQrJRIg,13826927,170344,25543,0,31118,2016-06-23T14:48:16.000Z,"Desiigner \Timmy Turner\"" Freestyle - XXL Freshman 2016""",10
DlB4hFTAxOo,429953,864,49,0,64,2010-11-10T07:06:51.000Z,Cadbury: Sibling Love Thematic 2010,1
sPneQzqhh4g,210526,384,13,0,50,2007-05-03T15:51:10.000Z,Shadow Puppets,24
G2wBnjtmmg8,596533,1480,59,0,92,2011-05-12T06:23:43.000Z,Cadbury Dairy Milk in Home - Romance : Meethe mein kuch meetha ho jaaye,1
ue5tV4SDldU,1706139,13,5,0,4,2016-01-27T15:45:57.000Z,Pirate Kings game offical Android trailer (Short),20
